I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.187500,-24.500000,2.256758,11.705879,-55.117645,2.326213,-42.360001,-59.160000,2.820948,-73.733337,17.466667,2.185097,1.000000,64.921478,0.368938,0.172655,0.407339,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.187500,-24.500000,2.256758,11.705879,-55.117645,2.326213,-42.360001,-59.160000,2.820948,-73.733337,17.466667,2.185097,1.000000,64.946075,0.369891,0.172907,0.408309,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.187500,-24.500000,2.256758,11.705879,-55.117645,2.326213,-42.360001,-59.160000,2.820948,-73.733337,17.466667,2.185097,1.000000,64.962059,0.370511,0.173071,0.408940,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.187500,-24.500000,2.256758,11.705879,-55.117645,2.326213,-42.360001,-59.160000,2.820948,-73.733337,17.466667,2.185097,1.000000,64.972450,0.370914,0.173177,0.409350,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.187500,-24.500000,2.256758,11.705879,-55.117645,2.326213,-42.360001,-59.160000,2.820948,-73.733337,17.466667,2.185097,1.000000,64.979202,0.371176,0.173246,0.409616,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.187500,-24.500000,2.256758,11.812500,-55.187500,2.256758,-42.360001,-59.160000,2.820948,-73.733337,17.466667,2.185097,1.000000,65.081024,0.372301,0.172966,0.410519,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.187500,-24.500000,2.256758,11.812500,-55.187500,2.256758,-42.360001,-59.160000,2.820948,-73.733337,17.466667,2.185097,1.000000,65.147209,0.373033,0.172783,0.411105,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.187500,-24.500000,2.256758,11.812500,-55.187500,2.256758,-42.360001,-59.160000,2.820948,-73.733337,17.466667,2.185097,1.000000,65.190231,0.373508,0.172662,0.411486,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.187500,-24.500000,2.256758,11.812500,-55.187500,2.256758,-42.360001,-59.160000,2.820948,-73.733337,17.466667,2.185097,1.000000,65.218193,0.373818,0.172584,0.411734,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.187500,-24.500000,2.256758,11.812500,-55.187500,2.256758,-42.360001,-59.160000,2.820948,-73.733337,17.466667,2.185097,1.000000,65.236366,0.374019,0.172533,0.411895,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000
