I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37
26.500000,89.894737,3.477898,45.666668,55.925926,2.931615,0.000000,0.000000,0.000000,134.707321,72.073174,3.612576,164.772720,87.227272,2.646284,46.272728,57.454544,2.646284,161.333328,82.181816,3.241023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,29.373121,1090.076172,71.396179,1021.255127,-42.828754,1192.313232,0.000000,0.000000,0.000000,0.000000
26.500000,89.894737,3.477898,45.666668,55.925926,2.931615,0.000000,0.000000,0.000000,134.149994,71.949997,3.568248,46.000000,57.500000,2.763953,164.636368,87.272728,2.646284,161.333328,82.181816,3.241023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,29.360489,1090.001465,71.343048,1020.057617,-42.958324,1194.229248,0.000000,0.000000,0.000000,0.000000
26.450001,90.000000,3.568248,45.629631,56.074074,2.931615,0.000000,0.000000,0.000000,134.149994,71.949997,3.568248,46.000000,57.500000,2.763953,164.636368,87.272728,2.646284,161.333328,82.181816,3.241023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,29.314102,1090.042114,71.293671,1018.823669,-43.042320,1195.477783,0.000000,0.000000,0.000000,0.000000
26.450001,90.000000,3.568248,45.629631,56.074074,2.931615,0.000000,0.000000,0.000000,134.149994,71.949997,3.568248,46.000000,57.500000,2.763953,164.636368,87.272728,2.646284,161.333328,82.181816,3.241023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,29.283951,1090.068970,71.261513,1018.022156,-43.096821,1196.290771,0.000000,0.000000,0.000000,0.000000
26.450001,90.000000,3.568248,45.629631,56.074074,2.931615,0.000000,0.000000,0.000000,134.149994,71.949997,3.568248,46.000000,57.500000,2.763953,164.636368,87.272728,2.646284,161.333328,82.181816,3.241023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,29.264359,1090.086426,71.240585,1017.501221,-43.132206,1196.819946,0.000000,0.000000,0.000000,0.000000
26.450001,90.000000,3.568248,45.629631,56.074074,2.931615,0.000000,0.000000,0.000000,134.149994,71.949997,3.568248,46.000000,57.500000,2.763953,164.636368,87.272728,2.646284,161.333328,82.181816,3.241023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,29.251623,1090.097900,71.226967,1017.162659,-43.155193,1197.163940,0.000000,0.000000,0.000000,0.000000
26.450001,90.000000,3.568248,45.629631,56.074074,2.931615,0.000000,0.000000,0.000000,134.149994,71.949997,3.568248,46.000000,57.500000,2.763953,164.636368,87.272728,2.646284,161.333328,82.181816,3.241023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,29.243341,1090.105469,71.218117,1016.942688,-43.170128,1197.387817,0.000000,0.000000,0.000000,0.000000
26.450001,90.000000,3.568248,45.629631,56.074074,2.931615,0.000000,0.000000,0.000000,134.149994,71.949997,3.568248,46.000000,57.500000,2.763953,164.636368,87.272728,2.646284,161.258072,81.483871,3.141275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,29.237959,1090.110352,71.212357,1016.799744,-43.340508,1199.740967,0.000000,0.000000,0.000000,0.000000
26.450001,90.000000,3.568248,45.629631,56.074074,2.931615,0.000000,0.000000,0.000000,134.097565,71.878052,3.612576,45.652172,57.478260,2.705758,163.904755,86.761902,2.585442,161.258072,81.483871,3.141275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,29.234463,1090.113525,71.040878,1015.080383,-43.467583,1202.261475,0.000000,0.000000,0.000000,0.000000
26.119047,90.666664,3.656366,44.639999,56.880001,2.820948,0.000000,0.000000,0.000000,134.097565,71.878052,3.612576,45.652172,57.478260,2.705758,163.904755,86.761902,2.585442,161.258072,81.483871,3.141275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,28.989491,1090.841431,70.783501,1012.202515,-43.549896,1203.903198,0.000000,0.000000,0.000000,0.000000
