I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
19.685814,36.098648,524.020630,-68.933899,-80.931778,19.914188,33.897560,525.459412,-58.730160,-146.910645,19.685814,36.184078,524.020630,-69.292709,-82.507034,19.914188,35.038723,525.459412,-63.523041,-85.962273
19.685814,36.832569,524.020630,-72.016365,-90.362495,19.914188,33.165100,525.459412,-55.653828,-154.198654,19.685814,36.499023,524.020630,-70.615479,-91.754295,19.914188,34.637775,525.459412,-61.839062,-94.060249
13.994127,36.511196,488.162994,-94.571686,-102.746887,25.605875,34.259373,561.317017,-36.344688,-158.958084,13.994127,35.534401,488.162994,-90.469147,-103.601440,25.605875,34.777596,561.317017,-38.521225,-99.104698
13.994127,35.155876,488.162994,-88.879341,-114.385841,25.605875,33.773254,561.317017,-34.302990,-163.450134,13.994127,33.784122,488.162994,-83.117973,-114.485939,25.605875,32.933445,561.317017,-30.775793,-103.134865
16.369551,33.551708,503.128174,-72.165062,-123.836029,23.230452,33.474777,546.351868,-43.026165,-169.084518,16.369551,33.095451,503.128174,-70.248779,-123.685188,23.230452,31.801136,546.351868,-35.996872,-107.848740
16.369551,32.566750,503.128174,-68.028229,-132.744492,23.230452,32.905514,546.351868,-40.635258,-174.405792,16.369551,32.286606,503.128174,-66.851631,-132.439575,23.230452,31.491898,546.351868,-34.698071,-112.392532
18.924843,31.575985,519.226501,-53.134796,-139.702621,20.675159,32.169987,530.253540,-48.278271,-180.727936,18.924843,32.175976,519.226501,-55.654755,-139.727692,20.675159,32.846024,530.253540,-51.117626,-119.086510
18.924843,28.651655,519.226501,-40.852612,-145.052368,20.675159,30.946371,530.253540,-43.139088,-186.377106,18.924843,30.950048,519.226501,-50.505859,-146.341553,20.675159,33.291458,530.253540,-52.988453,-126.025475
30.997112,28.400116,595.281799,10.907384,-143.624023,8.602891,30.195072,454.198212,-90.687164,-198.252808,30.997112,30.969330,595.281799,0.116686,-146.326279,8.602891,32.406956,454.198212,-99.977074,-139.117706
30.997112,28.631672,595.281799,9.934849,-142.323029,8.602891,30.119774,454.198212,-90.370911,-210.087097,30.997112,30.595169,595.281799,1.688161,-146.105194,8.602891,32.249870,454.198212,-99.317314,-152.123550
20.399372,28.773846,528.516052,-35.172787,-146.928986,21.600628,29.301540,536.083984,-32.343830,-214.322586,20.399372,30.751434,528.516052,-43.478661,-151.798828,21.600628,30.995420,536.083984,-39.458126,-157.290695
20.399372,29.247141,528.516052,-37.160625,-151.795273,21.600628,27.641146,536.083984,-25.370174,-217.644882,20.399372,30.461380,528.516052,-42.260429,-157.332932,21.600628,29.067188,536.083984,-31.359552,-161.397293
9.486448,28.765745,459.764618,-80.973045,-162.398880,32.513550,26.235664,604.835388,26.367117,-214.192047,9.486448,30.669287,459.764618,-88.967918,-168.983490,32.513550,28.655254,604.835388,16.204840,-159.275223
9.486448,28.856167,459.764618,-81.352814,-173.052231,32.513550,25.758698,604.835388,28.370378,-210.476868,9.486448,30.024942,459.764618,-86.261673,-180.279663,32.513550,27.244326,604.835388,22.130741,-156.377151
16.849556,30.069687,506.152222,-55.524548,-180.323303,25.150444,26.623840,558.447815,-6.188264,-211.287231,16.849556,28.085314,506.152222,-47.190182,-186.459320,25.150444,27.536016,558.447815,-10.019403,-157.689209
16.849556,26.954788,506.152222,-42.441975,-185.881165,25.150444,25.997038,558.447815,-3.555694,-211.752853,16.849556,25.350382,506.152222,-35.703468,-191.134766,25.150444,27.715115,558.447815,-10.771616,-159.099777
43.193130,24.656240,672.116699,77.854935,-175.685883,-1.193129,25.998180,-407.516724,-114.203491,-226.708084,43.193130,22.899134,672.116699,85.234779,-179.973068,-1.193129,28.211081,-407.516724,-123.497673,-175.272079
43.193130,23.244932,672.116699,83.782433,-164.714355,-1.193129,25.226883,-407.516724,-110.964043,-241.239090,43.193130,21.780067,672.116699,89.934860,-168.195892,-1.193129,28.515604,-407.516724,-124.776672,-191.611893
11.136792,23.150389,470.161804,-50.457104,-171.321854,30.863209,20.121305,594.438232,45.115993,-235.331039,11.136792,21.864962,470.161804,-45.058311,-174.096390,30.863209,25.228580,594.438232,23.665438,-188.512833
11.136792,23.864338,470.161804,-53.455688,-178.321991,30.863209,15.828482,594.438232,63.145851,-227.061935,11.136792,21.531086,470.161804,-43.656033,-179.813248,30.863209,22.438349,594.438232,35.384411,-183.879166
-2.610874,26.232704,-416.448517,-121.143021,-194.185959,44.610874,15.894688,681.048523,120.607979,-211.268036,-2.610874,21.712088,-416.448517,-102.156433,-193.190872,44.610874,20.725145,681.048523,100.320053,-170.742004
-2.610874,25.370880,-416.448517,-117.523361,-209.575912,44.610874,17.093338,681.048523,115.573647,-196.133377,-2.610874,20.665222,-416.448517,-97.759598,-205.992722,44.610874,18.515240,681.048523,109.601662,-156.389404
42.867897,20.981720,670.067749,91.921936,-197.538528,-0.867899,17.829309,-405.467773,-78.528275,-206.416840,42.867897,15.004446,670.067749,117.026489,-190.667816,-0.867899,19.088358,-405.467773,-83.816277,-167.365356
42.867897,16.742775,670.067749,109.725510,-183.169708,-0.867899,17.123196,-405.467773,-75.562592,-216.311951,42.867897,10.370729,670.067749,136.488098,-172.794388,-0.867899,19.826252,-405.467773,-86.915428,-178.747131
